,名称,カテゴリ,住所,最寄り駅,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,専有面積,最寄り駅_抽出,歩行時間
0,グランヴィスタ神田練塀町,賃貸マンション,東京都千代田区神田練塀町,東京メトロ日比谷線/秋葉原駅 歩4分,5,地下2地上21階建,19,580000,0,1160000,0,3LDK,88.49,東京メトロ日比谷線,歩4分
3,エルスタンザ神田須田町,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩4分,5,12階建,4,144000,10000,144000,0,1DK,29.02,ＪＲ山手線,歩4分
4,エルスタンザ神田須田町,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩4分,5,12階建,8,277000,13000,277000,0,2LDK,54.42,ＪＲ山手線,歩4分
5,エルスタンザ神田須田町,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩4分,5,12階建,11,283000,13000,283000,0,2LDK,54.42,ＪＲ山手線,歩4分
12,KWレジデンス麹町,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,19,地下1地上15階建,6,162000,15000,162000,162000,1K,33.1,東京メトロ有楽町線,歩4分
13,KWレジデンス麹町,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,19,地下1地上15階建,5,229000,20000,229000,0,1LDK,50.56,東京メトロ有楽町線,歩4分
14,KWレジデンス麹町,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,19,地下1地上15階建,10,532000,20000,532000,532000,2LDK,82.71,東京メトロ有楽町線,歩4分
15,KWレジデンス麹町,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,19,地下1地上15階建,12,533000,20000,533000,533000,2LDK,82.71,東京メトロ有楽町線,歩4分
24,オープンレジデンシア千代田外神田,賃貸マンション,東京都千代田区外神田５,東京メトロ銀座線/末広町駅 歩2分,2,13階建,6,301000,0,602000,301000,2LDK,56.03,東京メトロ銀座線,歩2分
28,オープンレジデンシア千代田外神田,賃貸マンション,東京都千代田区外神田５,東京メトロ銀座線/末広町駅 歩2分,2,13階建,2,400000,0,800000,400000,2SLDK,90.86,東京メトロ銀座線,歩2分
51,シャーメゾンステージ秋葉原,賃貸マンション,東京都千代田区神田佐久間河岸,ＪＲ山手線/秋葉原駅 歩4分,18,12階建,12,152000,7000,152000,152000,2K,40.42,ＪＲ山手線,歩4分
54,グラシア神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,5,14階建,3,142000,10000,142000,142000,1K,25.1,東京メトロ半蔵門線,歩3分
55,グラシア神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,5,14階建,4,143000,10000,143000,0,1K,25.1,東京メトロ半蔵門線,歩3分
56,グラシア神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,5,14階建,4,144000,10000,144000,144000,1DK,25.06,東京メトロ半蔵門線,歩3分
57,グラシア神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,5,14階建,5,145000,10000,145000,0,1DK,25.06,東京メトロ半蔵門線,歩3分
58,グラシア神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,5,14階建,6,146000,10000,146000,0,1DK,25.06,東京メトロ半蔵門線,歩3分
59,グラシア神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,5,14階建,9,157000,10000,157000,0,1DK,25.1,東京メトロ半蔵門線,歩3分
60,グラシア神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,5,14階建,11,231000,15000,231000,0,1LDK,40.18,東京メトロ半蔵門線,歩3分
61,グラシア神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,5,14階建,10,233000,15000,233000,233000,1LDK,40.18,東京メトロ半蔵門線,歩3分
62,グラシア神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,5,14階建,12,235000,15000,235000,0,1LDK,40.18,東京メトロ半蔵門線,歩3分
81,東京メトロ丸ノ内線 淡路町駅 8階建 築20年,賃貸マンション,東京都千代田区神田須田町１,東京メトロ丸ノ内線/淡路町駅 歩2分,20,8階建,6,140000,10000,140000,140000,2DK,36.88,東京メトロ丸ノ内線,歩2分
87,レーヴ半蔵門,賃貸マンション,東京都千代田区隼町,東京メトロ半蔵門線/半蔵門駅 歩2分,8,13階建,2,216000,10500,0,216000,1DK,33.95,東京メトロ半蔵門線,歩2分
88,レーヴ半蔵門,賃貸マンション,東京都千代田区隼町,東京メトロ半蔵門線/半蔵門駅 歩2分,8,13階建,3,220000,10500,0,220000,1DK,33.95,東京メトロ半蔵門線,歩2分
89,レーヴ半蔵門,賃貸マンション,東京都千代田区隼町,東京メトロ半蔵門線/半蔵門駅 歩2分,8,13階建,8,273000,10000,273000,0,2LDK,54.15,東京メトロ半蔵門線,歩2分
90,レーヴ半蔵門,賃貸マンション,東京都千代田区隼町,東京メトロ半蔵門線/半蔵門駅 歩2分,8,13階建,11,280000,10000,280000,280000,1SLDK,54.15,東京メトロ半蔵門線,歩2分
91,レーヴ半蔵門,賃貸マンション,東京都千代田区隼町,東京メトロ半蔵門線/半蔵門駅 歩2分,8,13階建,2,313000,10500,0,313000,1SLDK,54.15,東京メトロ半蔵門線,歩2分
92,レーヴ半蔵門,賃貸マンション,東京都千代田区隼町,東京メトロ半蔵門線/半蔵門駅 歩2分,8,13階建,5,320000,10500,0,320000,1LDK,54.15,東京メトロ半蔵門線,歩2分
93,レーヴ半蔵門,賃貸マンション,東京都千代田区隼町,東京メトロ半蔵門線/半蔵門駅 歩2分,8,13階建,6,321000,10500,0,321000,1SLDK,54.15,東京メトロ半蔵門線,歩2分
108,ＪＲ山手線 神田駅 7階建 築2年,賃貸マンション,東京都千代田区内神田２,ＪＲ山手線/神田駅 歩4分,2,7階建,6,194000,15000,0,0,1LDK,35.09,ＪＲ山手線,歩4分
110,ＪＲ山手線 神田駅 7階建 築2年,賃貸マンション,東京都千代田区内神田２,ＪＲ山手線/神田駅 歩4分,2,7階建,6,194000,20000,0,0,1LDK,35.09,ＪＲ山手線,歩4分
111,ＪＲ山手線 神田駅 7階建 築2年,賃貸マンション,東京都千代田区内神田２,ＪＲ山手線/神田駅 歩4分,2,7階建,7,253000,20000,0,0,2LDK,47.6,ＪＲ山手線,歩4分
112,ＪＲ山手線 神田駅 7階建 築2年,賃貸マンション,東京都千代田区内神田２,ＪＲ山手線/神田駅 歩4分,2,7階建,7,253000,20000,0,0,2LDK,47.54,ＪＲ山手線,歩4分
135,市ヶ谷スクエアレジデンス,賃貸マンション,東京都千代田区九段北４,東京メトロ有楽町線/市ケ谷駅 歩1分,20,地下1地上11階建,11,270000,0,270000,270000,2LDK,52.14,東京メトロ有楽町線,歩1分
138,パークタワー秋葉原,賃貸マンション,東京都千代田区神田練塀町,ＪＲ山手線/秋葉原駅 歩4分,18,地下1地上21階建,6,175000,13000,350000,175000,1LDK,41.92,ＪＲ山手線,歩4分
140,パークタワー秋葉原,賃貸マンション,東京都千代田区神田練塀町,ＪＲ山手線/秋葉原駅 歩4分,18,地下1地上21階建,18,195000,15000,195000,390000,1LDK,42.4,ＪＲ山手線,歩4分
141,パークタワー秋葉原,賃貸マンション,東京都千代田区神田練塀町,ＪＲ山手線/秋葉原駅 歩4分,18,地下1地上21階建,5,200000,15000,200000,400000,1LDK,50.7,ＪＲ山手線,歩4分
142,パークタワー秋葉原,賃貸マンション,東京都千代田区神田練塀町,ＪＲ山手線/秋葉原駅 歩4分,18,地下1地上21階建,11,268000,20000,402000,268000,2LDK,63.6,ＪＲ山手線,歩4分
143,パークタワー秋葉原,賃貸マンション,東京都千代田区神田練塀町,ＪＲ山手線/秋葉原駅 歩4分,18,地下1地上21階建,11,278000,20000,417000,278000,2LDK,63.6,ＪＲ山手線,歩4分
156,東京メトロ有楽町線 市ケ谷駅 12階建 築6年,賃貸マンション,東京都千代田区三番町,東京メトロ有楽町線/市ケ谷駅 歩14分,6,12階建,3,300000,0,300000,300000,2LDK,57.05,東京メトロ有楽町線,歩14分
157,東京メトロ有楽町線 市ケ谷駅 12階建 築6年,賃貸マンション,東京都千代田区三番町,東京メトロ有楽町線/市ケ谷駅 歩14分,6,12階建,2,300000,0,300000,300000,2LDK,57.05,東京メトロ有楽町線,歩14分
162,ＪＲ山手線 秋葉原駅 9階建 築8年,賃貸マンション,東京都千代田区岩本町２,ＪＲ山手線/秋葉原駅 歩5分,8,9階建,3,97000,10000,0,97000,1K,25.47,ＪＲ山手線,歩5分
163,ＪＲ山手線 秋葉原駅 9階建 築8年,賃貸マンション,東京都千代田区岩本町２,ＪＲ山手線/秋葉原駅 歩5分,8,9階建,2,153000,10000,0,153000,1LDK,40.34,ＪＲ山手線,歩5分
164,ＪＲ山手線 秋葉原駅 9階建 築8年,賃貸マンション,東京都千代田区岩本町２,ＪＲ山手線/秋葉原駅 歩5分,8,9階建,2,158000,10000,0,158000,1LDK,40.34,ＪＲ山手線,歩5分
180,シティインデックス神田,賃貸マンション,東京都千代田区岩本町２,東京メトロ日比谷線/秋葉原駅 歩6分,8,15階建,13,169000,16000,169000,338000,1LDK,32.95,東京メトロ日比谷線,歩6分
182,シティインデックス神田,賃貸マンション,東京都千代田区岩本町２,東京メトロ日比谷線/秋葉原駅 歩6分,8,15階建,8,180000,10000,180000,360000,1LDK,42.55,東京メトロ日比谷線,歩6分
195,東京メトロ有楽町線 麹町駅 14階建 築9年,賃貸マンション,東京都千代田区平河町１,東京メトロ有楽町線/麹町駅 歩3分,9,14階建,9,238000,12000,238000,0,1LDK,45.83,東京メトロ有楽町線,歩3分
196,東京メトロ有楽町線 麹町駅 14階建 築9年,賃貸マンション,東京都千代田区平河町１,東京メトロ有楽町線/麹町駅 歩3分,9,14階建,10,240000,12000,240000,0,1LDK,45.83,東京メトロ有楽町線,歩3分
201,レジディア神田,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩3分,18,13階建,5,160000,10000,160000,160000,1LDK,32.88,ＪＲ山手線,歩3分
204,ハーモニーレジデンス千代田岩本町(ハーモニーレジデンスチヨダイワモト),賃貸マンション,東京都千代田区岩本町１,東京メトロ日比谷線/秋葉原駅 歩8分,10,12階建,3,153000,10000,0,153000,1LDK,37.64,東京メトロ日比谷線,歩8分
210,東京メトロ銀座線 神田駅 14階建 築6年,賃貸マンション,東京都千代田区神田駿河台３,東京メトロ銀座線/神田駅 歩10分,6,14階建,13,192000,10000,192000,192000,1LDK,40.27,東京メトロ銀座線,歩10分
213,ISM御茶ノ水,賃貸マンション,東京都千代田区外神田２,東京メトロ銀座線/末広町駅 歩5分,4,12階建,8,193000,15000,193000,193000,1LDK,42.47,東京メトロ銀座線,歩5分
214,ISM御茶ノ水,賃貸マンション,東京都千代田区外神田２,東京メトロ銀座線/末広町駅 歩5分,4,12階建,9,194000,15000,194000,194000,1LDK,42.47,東京メトロ銀座線,歩5分
219,東京メトロ有楽町線 飯田橋駅 12階建 築3年,賃貸マンション,東京都千代田区飯田橋１,東京メトロ有楽町線/飯田橋駅 歩3分,3,12階建,9,218000,15000,218000,0,1LDK,40.49,東京メトロ有楽町線,歩3分
220,東京メトロ有楽町線 飯田橋駅 12階建 築3年,賃貸マンション,東京都千代田区飯田橋１,東京メトロ有楽町線/飯田橋駅 歩3分,3,12階建,11,222000,15000,222000,0,1LDK,40.49,東京メトロ有楽町線,歩3分
225,東神田テラスレジデンス,賃貸マンション,東京都千代田区東神田１,都営新宿線/岩本町駅 歩5分,6,地下1地上13階建,3,120000,10000,120000,0,1K,27.62,都営新宿線,歩5分
226,東神田テラスレジデンス,賃貸マンション,東京都千代田区東神田１,都営新宿線/岩本町駅 歩5分,6,地下1地上13階建,4,120000,10000,120000,0,1K,27.62,都営新宿線,歩5分
227,東神田テラスレジデンス,賃貸マンション,東京都千代田区東神田１,都営新宿線/岩本町駅 歩5分,6,地下1地上13階建,6,121000,10000,121000,0,1LDK,27.62,都営新宿線,歩5分
228,東神田テラスレジデンス,賃貸マンション,東京都千代田区東神田１,都営新宿線/岩本町駅 歩5分,6,地下1地上13階建,10,125000,10000,125000,0,1LDK,27.62,都営新宿線,歩5分
229,東神田テラスレジデンス,賃貸マンション,東京都千代田区東神田１,都営新宿線/岩本町駅 歩5分,6,地下1地上13階建,6,231000,12000,231000,231000,1LDK,45.97,都営新宿線,歩5分
230,東神田テラスレジデンス,賃貸マンション,東京都千代田区東神田１,都営新宿線/岩本町駅 歩5分,6,地下1地上13階建,9,235000,12000,235000,235000,1LDK,45.97,都営新宿線,歩5分
231,東神田テラスレジデンス,賃貸マンション,東京都千代田区東神田１,都営新宿線/岩本町駅 歩5分,6,地下1地上13階建,10,236000,12000,236000,236000,1LDK,45.97,都営新宿線,歩5分
232,東神田テラスレジデンス,賃貸マンション,東京都千代田区東神田１,都営新宿線/岩本町駅 歩5分,6,地下1地上13階建,10,238000,12000,238000,238000,1LDK,51.39,都営新宿線,歩5分
249,クオリタス秋葉原,賃貸マンション,東京都千代田区神田佐久間町４,東京メトロ日比谷線/秋葉原駅 歩5分,2,16階建,6,124500,15000,0,0,1K,25.3,東京メトロ日比谷線,歩5分
250,クオリタス秋葉原,賃貸マンション,東京都千代田区神田佐久間町４,東京メトロ日比谷線/秋葉原駅 歩5分,2,16階建,5,139000,15000,0,0,1K,30.25,東京メトロ日比谷線,歩5分
251,クオリタス秋葉原,賃貸マンション,東京都千代田区神田佐久間町４,東京メトロ日比谷線/秋葉原駅 歩5分,2,16階建,9,144000,15000,0,0,1K,30.25,東京メトロ日比谷線,歩5分
252,クオリタス秋葉原,賃貸マンション,東京都千代田区神田佐久間町４,東京メトロ日比谷線/秋葉原駅 歩5分,2,16階建,15,145000,15000,0,0,1K,30.25,東京メトロ日比谷線,歩5分
253,クオリタス秋葉原,賃貸マンション,東京都千代田区神田佐久間町４,東京メトロ日比谷線/秋葉原駅 歩5分,2,16階建,7,180000,15000,0,0,1K,30.25,東京メトロ日比谷線,歩5分
254,クオリタス秋葉原,賃貸マンション,東京都千代田区神田佐久間町４,東京メトロ日比谷線/秋葉原駅 歩5分,2,16階建,15,219000,20000,0,0,1LDK,42.56,東京メトロ日比谷線,歩5分
267,S-RESIDENCE神田avance,賃貸マンション,東京都千代田区岩本町１,ＪＲ総武線快速/馬喰町駅 歩4分,3,14階建,10,109500,14000,109500,109500,1K,26.06,ＪＲ総武線快速,歩4分
268,S-RESIDENCE神田avance,賃貸マンション,東京都千代田区岩本町１,ＪＲ総武線快速/馬喰町駅 歩4分,3,14階建,7,137000,14000,137000,137000,1DK,32.11,ＪＲ総武線快速,歩4分
273,セレニティー神田,賃貸マンション,東京都千代田区鍛冶町２,ＪＲ山手線/神田駅 歩3分,9,10階建,2,140000,10000,140000,140000,1DK,30.1,ＪＲ山手線,歩3分
274,セレニティー神田,賃貸マンション,東京都千代田区鍛冶町２,ＪＲ山手線/神田駅 歩3分,9,10階建,6,153000,10000,153000,153000,1DK,30.1,ＪＲ山手線,歩3分
275,セレニティー神田,賃貸マンション,東京都千代田区鍛冶町２,ＪＲ山手線/神田駅 歩3分,9,10階建,10,158000,10000,158000,0,1DK,30.1,ＪＲ山手線,歩3分
282,パークハビオ飯田橋,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/九段下駅 歩3分,9,地下1地上13階建,3,130000,12000,130000,130000,ワンルーム,25.02,東京メトロ東西線,歩3分
283,パークハビオ飯田橋,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/九段下駅 歩3分,9,地下1地上13階建,5,130000,12000,130000,130000,ワンルーム,25.02,東京メトロ東西線,歩3分
284,パークハビオ飯田橋,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/九段下駅 歩3分,9,地下1地上13階建,6,131000,12000,131000,131000,ワンルーム,25.02,東京メトロ東西線,歩3分
285,パークハビオ飯田橋,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/九段下駅 歩3分,9,地下1地上13階建,9,133000,12000,133000,133000,ワンルーム,25.02,東京メトロ東西線,歩3分
286,パークハビオ飯田橋,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/九段下駅 歩3分,9,地下1地上13階建,12,137000,12000,137000,137000,ワンルーム,25.04,東京メトロ東西線,歩3分
287,パークハビオ飯田橋,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/九段下駅 歩3分,9,地下1地上13階建,4,159000,12000,159000,159000,1DK,30.99,東京メトロ東西線,歩3分
288,パークハビオ飯田橋,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/九段下駅 歩3分,9,地下1地上13階建,7,164000,12000,164000,164000,1DK,30.6,東京メトロ東西線,歩3分
289,パークハビオ飯田橋,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/九段下駅 歩3分,9,地下1地上13階建,7,167000,12000,167000,167000,1DK,30.99,東京メトロ東西線,歩3分
336,Artio Domani,賃貸マンション,東京都千代田区内神田３,ＪＲ山手線/神田駅 歩3分,4,14階建,9,151000,8500,0,151000,1K,30.21,ＪＲ山手線,歩3分
337,Artio Domani,賃貸マンション,東京都千代田区内神田３,ＪＲ山手線/神田駅 歩3分,4,14階建,9,150000,12000,0,150000,1K,32.58,ＪＲ山手線,歩3分
338,Artio Domani,賃貸マンション,東京都千代田区内神田３,ＪＲ山手線/神田駅 歩3分,4,14階建,9,151000,12000,0,151000,1K,30.21,ＪＲ山手線,歩3分
357,ＪＲ中央線 御茶ノ水駅 14階建 築5年,賃貸マンション,東京都千代田区神田神保町１,ＪＲ中央線/御茶ノ水駅 歩10分,5,14階建,12,238000,15000,238000,0,1LDK,40.18,ＪＲ中央線,歩10分
378,グランド・ガーラ神田,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩4分,17,地下1地上13階建,4,90000,10000,90000,180000,1K,22.47,ＪＲ山手線,歩4分
380,グランド・ガーラ神田,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩4分,17,地下1地上13階建,7,99000,7000,99000,99000,1K,22.68,ＪＲ山手線,歩4分
382,グランド・ガーラ神田,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩4分,17,地下1地上13階建,6,99000,7000,99000,198000,1K,22.47,ＪＲ山手線,歩4分
385,グランド・ガーラ神田,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩4分,17,地下1地上13階建,7,99000,9000,99000,99000,1K,22.68,ＪＲ山手線,歩4分
386,グランド・ガーラ神田,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩4分,17,地下1地上13階建,7,120000,12000,120000,240000,1K,30.45,ＪＲ山手線,歩4分
387,グランド・ガーラ神田,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩4分,17,地下1地上13階建,4,120000,15000,120000,120000,1K,30.68,ＪＲ山手線,歩4分
408,ブライズ神田岩本町,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩4分,17,15階建,5,88000,6000,88000,0,1K,23.2,都営新宿線,歩4分
409,ブライズ神田岩本町,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩4分,17,15階建,15,224000,16000,224000,224000,2LDK,66.0,都営新宿線,歩4分
414,アーバネックス千代田淡路町,賃貸マンション,東京都千代田区神田小川町１,都営新宿線/小川町駅 歩1分,2,13階建,8,149000,15000,149000,0,1DK,25.52,都営新宿線,歩1分
415,アーバネックス千代田淡路町,賃貸マンション,東京都千代田区神田小川町１,都営新宿線/小川町駅 歩1分,2,13階建,5,150000,15000,150000,0,1DK,25.52,都営新宿線,歩1分
416,アーバネックス千代田淡路町,賃貸マンション,東京都千代田区神田小川町１,都営新宿線/小川町駅 歩1分,2,13階建,8,186000,15000,186000,0,1LDK,31.96,都営新宿線,歩1分
417,アーバネックス千代田淡路町,賃貸マンション,東京都千代田区神田小川町１,都営新宿線/小川町駅 歩1分,2,13階建,3,195000,15000,195000,0,1LDK,33.16,都営新宿線,歩1分
426,GOLD FOREST 半蔵門　ゴールドフォレスト半蔵門,賃貸マンション,東京都千代田区麹町２,東京メトロ半蔵門線/半蔵門駅 歩2分,2,14階建,5,305000,16000,0,305000,1LDK,65.34,東京メトロ半蔵門線,歩2分
429,メインステージ神田駅前,賃貸マンション,東京都千代田区内神田３,ＪＲ山手線/神田駅 歩3分,19,11階建,7,90000,10000,90000,90000,1K,23.64,ＪＲ山手線,歩3分
432,パークキューブ神田,賃貸マンション,東京都千代田区神田須田町２,ＪＲ山手線/神田駅 歩3分,19,15階建,5,140000,10000,140000,140000,1DK,32.07,ＪＲ山手線,歩3分
433,パークキューブ神田,賃貸マンション,東京都千代田区神田須田町２,ＪＲ山手線/神田駅 歩3分,19,15階建,10,145000,10000,145000,145000,1DK,32.07,ＪＲ山手線,歩3分
438,ウェスタ紀尾井町,賃貸マンション,東京都千代田区紀尾井町,東京メトロ有楽町線/麹町駅 歩4分,6,6階建,3,166000,0,332000,166000,ワンルーム,30.54,東京メトロ有楽町線,歩4分
441,東京メトロ銀座線 神田駅 11階建 築8年,賃貸マンション,東京都千代田区外神田２,東京メトロ銀座線/神田駅 歩10分,8,11階建,10,135000,8000,135000,0,1K,25.12,東京メトロ銀座線,歩10分
442,東京メトロ銀座線 神田駅 11階建 築8年,賃貸マンション,東京都千代田区外神田２,東京メトロ銀座線/神田駅 歩10分,8,11階建,5,140000,8000,140000,140000,1K,25.68,東京メトロ銀座線,歩10分
443,東京メトロ銀座線 神田駅 11階建 築8年,賃貸マンション,東京都千代田区外神田２,東京メトロ銀座線/神田駅 歩10分,8,11階建,7,146000,8000,146000,146000,1K,30.14,東京メトロ銀座線,歩10分
450,スカイコートヌーベル神田,賃貸マンション,東京都千代田区岩本町１,ＪＲ山手線/神田駅 歩6分,21,8階建,4,80000,10000,80000,80000,1K,22.41,ＪＲ山手線,歩6分
455,ＪＲ山手線 神田駅 8階建 築21年,賃貸マンション,東京都千代田区岩本町１,ＪＲ山手線/神田駅 歩6分,21,8階建,8,84700,15000,0,0,1K,22.41,ＪＲ山手線,歩6分
462,ロイジェント九段,賃貸マンション,東京都千代田区九段北１,東京メトロ東西線/九段下駅 歩5分,7,13階建,2,151000,0,151000,0,1K,30.4,東京メトロ東西線,歩5分
463,ロイジェント九段,賃貸マンション,東京都千代田区九段北１,東京メトロ東西線/九段下駅 歩5分,7,13階建,5,152000,0,152000,0,1K,29.43,東京メトロ東西線,歩5分
464,ロイジェント九段,賃貸マンション,東京都千代田区九段北１,東京メトロ東西線/九段下駅 歩5分,7,13階建,10,292000,0,292000,292000,2LDK,61.33,東京メトロ東西線,歩5分
471,アスプライム千代田富士見,賃貸マンション,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩4分,43,4階建,1,205000,8000,205000,205000,1LDK,40.23,ＪＲ中央線,歩4分
472,アスプライム千代田富士見,賃貸マンション,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩4分,43,4階建,1,210000,8000,210000,210000,1LDK,40.23,ＪＲ中央線,歩4分
473,アスプライム千代田富士見,賃貸マンション,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩4分,43,4階建,1,220000,8000,220000,220000,1LDK,40.23,ＪＲ中央線,歩4分
474,アスプライム千代田富士見,賃貸マンション,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩4分,43,4階建,2,225000,8000,225000,225000,1LDK,46.78,ＪＲ中央線,歩4分
483,プレミアステージ内神田,賃貸マンション,東京都千代田区内神田２,ＪＲ山手線/神田駅 歩3分,19,10階建,3,132000,10000,132000,132000,ワンルーム,33.08,ＪＲ山手線,歩3分
484,プレミアステージ内神田,賃貸マンション,東京都千代田区内神田２,ＪＲ山手線/神田駅 歩3分,19,10階建,9,152000,10000,152000,152000,ワンルーム,34.73,ＪＲ山手線,歩3分
489,お茶の水S.C.ハウス,賃貸マンション,東京都千代田区神田小川町３,東京メトロ半蔵門線/神保町駅 歩4分,20,12階建,9,138000,0,138000,138000,ワンルーム,31.34,東京メトロ半蔵門線,歩4分
495,東京メトロ有楽町線 麹町駅 15階建 築10年,賃貸マンション,東京都千代田区平河町１,東京メトロ有楽町線/麹町駅 歩2分,10,15階建,2,133000,10000,133000,133000,ワンルーム,25.44,東京メトロ有楽町線,歩2分
496,東京メトロ有楽町線 麹町駅 15階建 築10年,賃貸マンション,東京都千代田区平河町１,東京メトロ有楽町線/麹町駅 歩2分,10,15階建,9,142000,10000,142000,142000,1K,25.44,東京メトロ有楽町線,歩2分
497,東京メトロ有楽町線 麹町駅 15階建 築10年,賃貸マンション,東京都千代田区平河町１,東京メトロ有楽町線/麹町駅 歩2分,10,15階建,13,145000,10000,145000,145000,1K,25.87,東京メトロ有楽町線,歩2分
507,コンフォリア秋葉原EAST,賃貸マンション,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分,8,12階建,5,136000,6000,136000,0,ワンルーム,30.87,東京メトロ日比谷線,歩8分
508,コンフォリア秋葉原EAST,賃貸マンション,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分,8,12階建,3,139000,6000,139000,0,1K,30.34,東京メトロ日比谷線,歩8分
509,コンフォリア秋葉原EAST,賃貸マンション,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分,8,12階建,4,140000,6000,140000,0,1K,30.34,東京メトロ日比谷線,歩8分
510,コンフォリア秋葉原EAST,賃貸マンション,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分,8,12階建,11,140000,6000,140000,0,1K,30.34,東京メトロ日比谷線,歩8分
511,コンフォリア秋葉原EAST,賃貸マンション,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分,8,12階建,9,142000,6000,142000,0,1K,30.34,東京メトロ日比谷線,歩8分
512,コンフォリア秋葉原EAST,賃貸マンション,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分,8,12階建,2,147000,8000,147000,0,1DK,32.83,東京メトロ日比谷線,歩8分
513,コンフォリア秋葉原EAST,賃貸マンション,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分,8,12階建,5,181000,8000,181000,0,1LDK,42.17,東京メトロ日比谷線,歩8分
514,コンフォリア秋葉原EAST,賃貸マンション,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分,8,12階建,3,248000,10000,248000,0,2LDK,53.6,東京メトロ日比谷線,歩8分
515,コンフォリア秋葉原EAST,賃貸マンション,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分,8,12階建,2,255000,10000,255000,0,2LDK,55.83,東京メトロ日比谷線,歩8分
534,パークアクシス小伝馬町,賃貸マンション,東京都千代田区岩本町１,東京メトロ日比谷線/小伝馬町駅 歩3分,8,14階建,11,150000,11000,150000,0,ワンルーム,31.28,東京メトロ日比谷線,歩3分
535,パークアクシス小伝馬町,賃貸マンション,東京都千代田区岩本町１,東京メトロ日比谷線/小伝馬町駅 歩3分,8,14階建,8,180000,13000,180000,0,1LDK,40.01,東京メトロ日比谷線,歩3分
536,パークアクシス小伝馬町,賃貸マンション,東京都千代田区岩本町１,東京メトロ日比谷線/小伝馬町駅 歩3分,8,14階建,14,218000,13000,218000,0,1LDK,45.16,東京メトロ日比谷線,歩3分
543,カーサスプレンディッド一番町,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩3分,6,13階建,9,145000,10000,145000,145000,ワンルーム,27.82,東京メトロ半蔵門線,歩3分
