,名称,カテゴリ,住所,最寄り駅,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,専有面積
0,グランヴィスタ神田練塀町,賃貸マンション,東京都千代田区神田練塀町,東京メトロ日比谷線/秋葉原駅 歩4分,築5年,地下2地上21階建,19階,58万円,-,116万円,-,3LDK,88.49m2
1,グランヴィスタ神田練塀町,賃貸マンション,東京都千代田区神田練塀町,東京メトロ銀座線/末広町駅 歩5分,築5年,地下2地上21階建,19階,58万円,-,116万円,-,3LDK,88.49m2
2,グランヴィスタ神田練塀町,賃貸マンション,東京都千代田区神田練塀町,都営新宿線/岩本町駅 歩7分,築5年,地下2地上21階建,19階,58万円,-,116万円,-,3LDK,88.49m2
3,エルスタンザ神田須田町,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩4分,築5年,12階建,4階,14.4万円,10000円,14.4万円,-,1DK,29.02m2
4,エルスタンザ神田須田町,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩4分,築5年,12階建,8階,27.7万円,13000円,27.7万円,-,2LDK,54.42m2
5,エルスタンザ神田須田町,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩4分,築5年,12階建,11階,28.3万円,13000円,28.3万円,-,2LDK,54.42m2
6,エルスタンザ神田須田町,賃貸マンション,東京都千代田区神田須田町１,東京メトロ丸ノ内線/淡路町駅 歩3分,築5年,12階建,4階,14.4万円,10000円,14.4万円,-,1DK,29.02m2
7,エルスタンザ神田須田町,賃貸マンション,東京都千代田区神田須田町１,東京メトロ丸ノ内線/淡路町駅 歩3分,築5年,12階建,8階,27.7万円,13000円,27.7万円,-,2LDK,54.42m2
8,エルスタンザ神田須田町,賃貸マンション,東京都千代田区神田須田町１,東京メトロ丸ノ内線/淡路町駅 歩3分,築5年,12階建,11階,28.3万円,13000円,28.3万円,-,2LDK,54.42m2
9,エルスタンザ神田須田町,賃貸マンション,東京都千代田区神田須田町１,都営新宿線/小川町駅 歩3分,築5年,12階建,4階,14.4万円,10000円,14.4万円,-,1DK,29.02m2
