,名称,カテゴリ,住所,最寄り駅,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,専有面積
2181,東京メトロ半蔵門線 神保町駅 地下1地上14階建 新築,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩2分,新築,地下1地上14階建,14階,16.5万円,10000円,16.5万円,16.5万円,1LDK,30.19m2
2182,東京メトロ半蔵門線 神保町駅 地下1地上14階建 新築,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩2分,新築,地下1地上14階建,5階,17万円,10000円,17万円,17万円,1LDK,30.86m2
2183,東京メトロ半蔵門線 神保町駅 地下1地上14階建 新築,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩2分,新築,地下1地上14階建,8階,18.8万円,10000円,18.8万円,18.8万円,1LDK,34.89m2
2184,東京メトロ半蔵門線 神保町駅 地下1地上14階建 新築,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩2分,新築,地下1地上14階建,8階,19.3万円,10000円,19.3万円,19.3万円,1LDK,34.89m2
2185,東京メトロ半蔵門線 神保町駅 地下1地上14階建 新築,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩2分,新築,地下1地上14階建,13階,24万円,-,24万円,24万円,1LDK,41.54m2
2202,東京メトロ半蔵門線 半蔵門駅 12階建 築20年,賃貸マンション,東京都千代田区麹町１,東京メトロ半蔵門線/半蔵門駅 歩4分,築20年,12階建,12階,95万円,-,190万円,-,1LDK,109.9m2
2205,都営新宿線 小川町駅 13階建 築18年,賃貸マンション,東京都千代田区神田錦町１,都営新宿線/小川町駅 歩7分,築18年,13階建,2階,17.9万円,10000円,17.9万円,-,1LDK,40.49m2
2206,都営新宿線 小川町駅 13階建 築18年,賃貸マンション,東京都千代田区神田錦町１,都営新宿線/小川町駅 歩7分,築18年,13階建,6階,18.4万円,10000円,18.4万円,-,1LDK,40.49m2
2214,レ・ジェイドクロス千代田神保町,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩5分,新築,地下1地上14階建,4階,13.6万円,-,13.6万円,13.6万円,1K,27.68m2
2215,レ・ジェイドクロス千代田神保町,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩5分,新築,地下1地上14階建,4階,21.5万円,-,21.5万円,21.5万円,1LDK,40.36m2
2216,レ・ジェイドクロス千代田神保町,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩5分,新築,地下1地上14階建,5階,21.6万円,-,21.6万円,21.6万円,1LDK,40.36m2
2217,レ・ジェイドクロス千代田神保町,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩5分,新築,地下1地上14階建,6階,21.7万円,-,21.7万円,21.7万円,1LDK,40.36m2
2218,レ・ジェイドクロス千代田神保町,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩5分,新築,地下1地上14階建,4階,23.6万円,-,23.6万円,23.6万円,1LDK,45.04m2
2220,レ・ジェイドクロス千代田神保町,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩5分,新築,地下1地上14階建,4階,23.6万円,-,23.6万円,23.6万円,1K,45.04m2
2221,レ・ジェイドクロス千代田神保町,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩5分,新築,地下1地上14階建,5階,23.7万円,-,23.7万円,23.7万円,1LDK,45.04m2
2222,レ・ジェイドクロス千代田神保町,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩5分,新築,地下1地上14階建,5階,23.7万円,-,23.7万円,23.7万円,1K,45.04m2
2224,レ・ジェイドクロス千代田神保町,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩5分,新築,地下1地上14階建,4階,23.7万円,-,23.7万円,23.7万円,1LDK,45.03m2
2225,レ・ジェイドクロス千代田神保町,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩5分,新築,地下1地上14階建,6階,23.8万円,-,23.8万円,23.8万円,1LDK,45.04m2
2228,レ・ジェイドクロス千代田神保町,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩5分,新築,地下1地上14階建,5階,23.8万円,-,23.8万円,23.8万円,1LDK,45.03m2
2229,レ・ジェイドクロス千代田神保町,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩5分,新築,地下1地上14階建,7階,23.9万円,-,23.9万円,23.9万円,1LDK,45.04m2
2230,レ・ジェイドクロス千代田神保町,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩5分,新築,地下1地上14階建,6階,23.9万円,-,23.9万円,23.9万円,1LDK,45.03m2
2231,レ・ジェイドクロス千代田神保町,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩5分,新築,地下1地上14階建,7階,24万円,-,24万円,24万円,1LDK,45.03m2
2232,レ・ジェイドクロス千代田神保町,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩5分,新築,地下1地上14階建,5階,31.8万円,-,31.8万円,31.8万円,2LDK,64.46m2
