,名称,カテゴリ,住所,最寄り駅,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,専有面積
0,グランヴィスタ神田練塀町,賃貸マンション,東京都千代田区神田練塀町,東京メトロ日比谷線/秋葉原駅 歩4分,築5年,地下2地上21階建,19階,58万円,-,116万円,-,3LDK,88.49m2
3,エルスタンザ神田須田町,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩4分,築5年,12階建,4階,14.4万円,10000円,14.4万円,-,1DK,29.02m2
4,エルスタンザ神田須田町,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩4分,築5年,12階建,8階,27.7万円,13000円,27.7万円,-,2LDK,54.42m2
5,エルスタンザ神田須田町,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩4分,築5年,12階建,11階,28.3万円,13000円,28.3万円,-,2LDK,54.42m2
12,KWレジデンス麹町,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,築19年,地下1地上15階建,6階,16.2万円,15000円,16.2万円,16.2万円,1K,33.1m2
13,KWレジデンス麹町,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,築19年,地下1地上15階建,5階,22.9万円,20000円,22.9万円,-,1LDK,50.56m2
14,KWレジデンス麹町,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,築19年,地下1地上15階建,10階,53.2万円,20000円,53.2万円,53.2万円,2LDK,82.71m2
15,KWレジデンス麹町,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,築19年,地下1地上15階建,12階,53.3万円,20000円,53.3万円,53.3万円,2LDK,82.71m2
24,オープンレジデンシア千代田外神田,賃貸マンション,東京都千代田区外神田５,東京メトロ銀座線/末広町駅 歩2分,築2年,13階建,6階,30.1万円,-,60.2万円,30.1万円,2LDK,56.03m2
28,オープンレジデンシア千代田外神田,賃貸マンション,東京都千代田区外神田５,東京メトロ銀座線/末広町駅 歩2分,築2年,13階建,2階,40万円,-,80万円,40万円,2SLDK,90.86m2
51,シャーメゾンステージ秋葉原,賃貸マンション,東京都千代田区神田佐久間河岸,ＪＲ山手線/秋葉原駅 歩4分,築18年,12階建,12階,15.2万円,7000円,15.2万円,15.2万円,2K,40.42m2
54,グラシア神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,築5年,14階建,3階,14.2万円,10000円,14.2万円,14.2万円,1K,25.1m2
55,グラシア神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,築5年,14階建,4階,14.3万円,10000円,14.3万円,-,1K,25.1m2
56,グラシア神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,築5年,14階建,4階,14.4万円,10000円,14.4万円,14.4万円,1DK,25.06m2
57,グラシア神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,築5年,14階建,5階,14.5万円,10000円,14.5万円,-,1DK,25.06m2
58,グラシア神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,築5年,14階建,6階,14.6万円,10000円,14.6万円,-,1DK,25.06m2
59,グラシア神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,築5年,14階建,9階,15.7万円,10000円,15.7万円,-,1DK,25.1m2
60,グラシア神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,築5年,14階建,11階,23.1万円,15000円,23.1万円,-,1LDK,40.18m2
61,グラシア神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,築5年,14階建,10階,23.3万円,15000円,23.3万円,23.3万円,1LDK,40.18m2
62,グラシア神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,築5年,14階建,12階,23.5万円,15000円,23.5万円,-,1LDK,40.18m2
81,東京メトロ丸ノ内線 淡路町駅 8階建 築20年,賃貸マンション,東京都千代田区神田須田町１,東京メトロ丸ノ内線/淡路町駅 歩2分,築20年,8階建,6階,14万円,10000円,14万円,14万円,2DK,36.88m2
87,レーヴ半蔵門,賃貸マンション,東京都千代田区隼町,東京メトロ半蔵門線/半蔵門駅 歩2分,築8年,13階建,2階,21.6万円,10500円,-,21.6万円,1DK,33.95m2
88,レーヴ半蔵門,賃貸マンション,東京都千代田区隼町,東京メトロ半蔵門線/半蔵門駅 歩2分,築8年,13階建,3階,22万円,10500円,-,22万円,1DK,33.95m2
89,レーヴ半蔵門,賃貸マンション,東京都千代田区隼町,東京メトロ半蔵門線/半蔵門駅 歩2分,築8年,13階建,8階,27.3万円,10000円,27.3万円,-,2LDK,54.15m2
90,レーヴ半蔵門,賃貸マンション,東京都千代田区隼町,東京メトロ半蔵門線/半蔵門駅 歩2分,築8年,13階建,11階,28万円,10000円,28万円,28万円,1SLDK,54.15m2
91,レーヴ半蔵門,賃貸マンション,東京都千代田区隼町,東京メトロ半蔵門線/半蔵門駅 歩2分,築8年,13階建,2階,31.3万円,10500円,-,31.3万円,1SLDK,54.15m2
92,レーヴ半蔵門,賃貸マンション,東京都千代田区隼町,東京メトロ半蔵門線/半蔵門駅 歩2分,築8年,13階建,5階,32万円,10500円,-,32万円,1LDK,54.15m2
93,レーヴ半蔵門,賃貸マンション,東京都千代田区隼町,東京メトロ半蔵門線/半蔵門駅 歩2分,築8年,13階建,6階,32.1万円,10500円,-,32.1万円,1SLDK,54.15m2
108,ＪＲ山手線 神田駅 7階建 築2年,賃貸マンション,東京都千代田区内神田２,ＪＲ山手線/神田駅 歩4分,築2年,7階建,6階,19.4万円,15000円,-,-,1LDK,35.09m2
110,ＪＲ山手線 神田駅 7階建 築2年,賃貸マンション,東京都千代田区内神田２,ＪＲ山手線/神田駅 歩4分,築2年,7階建,6階,19.4万円,20000円,-,-,1LDK,35.09m2
111,ＪＲ山手線 神田駅 7階建 築2年,賃貸マンション,東京都千代田区内神田２,ＪＲ山手線/神田駅 歩4分,築2年,7階建,7階,25.3万円,20000円,-,-,2LDK,47.6m2
112,ＪＲ山手線 神田駅 7階建 築2年,賃貸マンション,東京都千代田区内神田２,ＪＲ山手線/神田駅 歩4分,築2年,7階建,7階,25.3万円,20000円,-,-,2LDK,47.54m2
135,市ヶ谷スクエアレジデンス,賃貸マンション,東京都千代田区九段北４,東京メトロ有楽町線/市ケ谷駅 歩1分,築20年,地下1地上11階建,11階,27万円,-,27万円,27万円,2LDK,52.14m2
138,パークタワー秋葉原,賃貸マンション,東京都千代田区神田練塀町,ＪＲ山手線/秋葉原駅 歩4分,築18年,地下1地上21階建,6階,17.5万円,13000円,35万円,17.5万円,1LDK,41.92m2
140,パークタワー秋葉原,賃貸マンション,東京都千代田区神田練塀町,ＪＲ山手線/秋葉原駅 歩4分,築18年,地下1地上21階建,18階,19.5万円,15000円,19.5万円,39万円,1LDK,42.4m2
141,パークタワー秋葉原,賃貸マンション,東京都千代田区神田練塀町,ＪＲ山手線/秋葉原駅 歩4分,築18年,地下1地上21階建,5階,20万円,15000円,20万円,40万円,1LDK,50.7m2
142,パークタワー秋葉原,賃貸マンション,東京都千代田区神田練塀町,ＪＲ山手線/秋葉原駅 歩4分,築18年,地下1地上21階建,11階,26.8万円,20000円,40.2万円,26.8万円,2LDK,63.6m2
143,パークタワー秋葉原,賃貸マンション,東京都千代田区神田練塀町,ＪＲ山手線/秋葉原駅 歩4分,築18年,地下1地上21階建,11階,27.8万円,20000円,41.7万円,27.8万円,2LDK,63.6m2
156,東京メトロ有楽町線 市ケ谷駅 12階建 築6年,賃貸マンション,東京都千代田区三番町,東京メトロ有楽町線/市ケ谷駅 歩14分,築6年,12階建,3階,30万円,-,30万円,30万円,2LDK,57.05m2
157,東京メトロ有楽町線 市ケ谷駅 12階建 築6年,賃貸マンション,東京都千代田区三番町,東京メトロ有楽町線/市ケ谷駅 歩14分,築6年,12階建,2階,30万円,-,30万円,30万円,2LDK,57.05m2
162,ＪＲ山手線 秋葉原駅 9階建 築8年,賃貸マンション,東京都千代田区岩本町２,ＪＲ山手線/秋葉原駅 歩5分,築8年,9階建,3階,9.7万円,10000円,-,9.7万円,1K,25.47m2
163,ＪＲ山手線 秋葉原駅 9階建 築8年,賃貸マンション,東京都千代田区岩本町２,ＪＲ山手線/秋葉原駅 歩5分,築8年,9階建,2階,15.3万円,10000円,-,15.3万円,1LDK,40.34m2
164,ＪＲ山手線 秋葉原駅 9階建 築8年,賃貸マンション,東京都千代田区岩本町２,ＪＲ山手線/秋葉原駅 歩5分,築8年,9階建,2階,15.8万円,10000円,-,15.8万円,1LDK,40.34m2
180,シティインデックス神田,賃貸マンション,東京都千代田区岩本町２,東京メトロ日比谷線/秋葉原駅 歩6分,築8年,15階建,13階,16.9万円,16000円,16.9万円,33.8万円,1LDK,32.95m2
182,シティインデックス神田,賃貸マンション,東京都千代田区岩本町２,東京メトロ日比谷線/秋葉原駅 歩6分,築8年,15階建,8階,18万円,10000円,18万円,36万円,1LDK,42.55m2
195,東京メトロ有楽町線 麹町駅 14階建 築9年,賃貸マンション,東京都千代田区平河町１,東京メトロ有楽町線/麹町駅 歩3分,築9年,14階建,9階,23.8万円,12000円,23.8万円,-,1LDK,45.83m2
196,東京メトロ有楽町線 麹町駅 14階建 築9年,賃貸マンション,東京都千代田区平河町１,東京メトロ有楽町線/麹町駅 歩3分,築9年,14階建,10階,24万円,12000円,24万円,-,1LDK,45.83m2
201,レジディア神田,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩3分,築18年,13階建,5階,16万円,10000円,16万円,16万円,1LDK,32.88m2
204,ハーモニーレジデンス千代田岩本町(ハーモニーレジデンスチヨダイワモト),賃貸マンション,東京都千代田区岩本町１,東京メトロ日比谷線/秋葉原駅 歩8分,築10年,12階建,3階,15.3万円,10000円,-,15.3万円,1LDK,37.64m2
210,東京メトロ銀座線 神田駅 14階建 築6年,賃貸マンション,東京都千代田区神田駿河台３,東京メトロ銀座線/神田駅 歩10分,築6年,14階建,13階,19.2万円,10000円,19.2万円,19.2万円,1LDK,40.27m2
213,ISM御茶ノ水,賃貸マンション,東京都千代田区外神田２,東京メトロ銀座線/末広町駅 歩5分,築4年,12階建,8階,19.3万円,15000円,19.3万円,19.3万円,1LDK,42.47m2
214,ISM御茶ノ水,賃貸マンション,東京都千代田区外神田２,東京メトロ銀座線/末広町駅 歩5分,築4年,12階建,9階,19.4万円,15000円,19.4万円,19.4万円,1LDK,42.47m2
219,東京メトロ有楽町線 飯田橋駅 12階建 築3年,賃貸マンション,東京都千代田区飯田橋１,東京メトロ有楽町線/飯田橋駅 歩3分,築3年,12階建,9階,21.8万円,15000円,21.8万円,-,1LDK,40.49m2
220,東京メトロ有楽町線 飯田橋駅 12階建 築3年,賃貸マンション,東京都千代田区飯田橋１,東京メトロ有楽町線/飯田橋駅 歩3分,築3年,12階建,11階,22.2万円,15000円,22.2万円,-,1LDK,40.49m2
225,東神田テラスレジデンス,賃貸マンション,東京都千代田区東神田１,都営新宿線/岩本町駅 歩5分,築6年,地下1地上13階建,3階,12万円,10000円,12万円,-,1K,27.62m2
226,東神田テラスレジデンス,賃貸マンション,東京都千代田区東神田１,都営新宿線/岩本町駅 歩5分,築6年,地下1地上13階建,4階,12万円,10000円,12万円,-,1K,27.62m2
227,東神田テラスレジデンス,賃貸マンション,東京都千代田区東神田１,都営新宿線/岩本町駅 歩5分,築6年,地下1地上13階建,6階,12.1万円,10000円,12.1万円,-,1LDK,27.62m2
228,東神田テラスレジデンス,賃貸マンション,東京都千代田区東神田１,都営新宿線/岩本町駅 歩5分,築6年,地下1地上13階建,10階,12.5万円,10000円,12.5万円,-,1LDK,27.62m2
229,東神田テラスレジデンス,賃貸マンション,東京都千代田区東神田１,都営新宿線/岩本町駅 歩5分,築6年,地下1地上13階建,6階,23.1万円,12000円,23.1万円,23.1万円,1LDK,45.97m2
230,東神田テラスレジデンス,賃貸マンション,東京都千代田区東神田１,都営新宿線/岩本町駅 歩5分,築6年,地下1地上13階建,9階,23.5万円,12000円,23.5万円,23.5万円,1LDK,45.97m2
231,東神田テラスレジデンス,賃貸マンション,東京都千代田区東神田１,都営新宿線/岩本町駅 歩5分,築6年,地下1地上13階建,10階,23.6万円,12000円,23.6万円,23.6万円,1LDK,45.97m2
232,東神田テラスレジデンス,賃貸マンション,東京都千代田区東神田１,都営新宿線/岩本町駅 歩5分,築6年,地下1地上13階建,10階,23.8万円,12000円,23.8万円,23.8万円,1LDK,51.39m2
249,クオリタス秋葉原,賃貸マンション,東京都千代田区神田佐久間町４,東京メトロ日比谷線/秋葉原駅 歩5分,築2年,16階建,6階,12.45万円,15000円,-,-,1K,25.3m2
250,クオリタス秋葉原,賃貸マンション,東京都千代田区神田佐久間町４,東京メトロ日比谷線/秋葉原駅 歩5分,築2年,16階建,5階,13.9万円,15000円,-,-,1K,30.25m2
251,クオリタス秋葉原,賃貸マンション,東京都千代田区神田佐久間町４,東京メトロ日比谷線/秋葉原駅 歩5分,築2年,16階建,9階,14.4万円,15000円,-,-,1K,30.25m2
252,クオリタス秋葉原,賃貸マンション,東京都千代田区神田佐久間町４,東京メトロ日比谷線/秋葉原駅 歩5分,築2年,16階建,15階,14.5万円,15000円,-,-,1K,30.25m2
253,クオリタス秋葉原,賃貸マンション,東京都千代田区神田佐久間町４,東京メトロ日比谷線/秋葉原駅 歩5分,築2年,16階建,7階,18万円,15000円,-,-,1K,30.25m2
254,クオリタス秋葉原,賃貸マンション,東京都千代田区神田佐久間町４,東京メトロ日比谷線/秋葉原駅 歩5分,築2年,16階建,15階,21.9万円,20000円,-,-,1LDK,42.56m2
267,S-RESIDENCE神田avance,賃貸マンション,東京都千代田区岩本町１,ＪＲ総武線快速/馬喰町駅 歩4分,築3年,14階建,10階,10.95万円,14000円,10.95万円,10.95万円,1K,26.06m2
268,S-RESIDENCE神田avance,賃貸マンション,東京都千代田区岩本町１,ＪＲ総武線快速/馬喰町駅 歩4分,築3年,14階建,7階,13.7万円,14000円,13.7万円,13.7万円,1DK,32.11m2
273,セレニティー神田,賃貸マンション,東京都千代田区鍛冶町２,ＪＲ山手線/神田駅 歩3分,築9年,10階建,2階,14万円,10000円,14万円,14万円,1DK,30.1m2
274,セレニティー神田,賃貸マンション,東京都千代田区鍛冶町２,ＪＲ山手線/神田駅 歩3分,築9年,10階建,6階,15.3万円,10000円,15.3万円,15.3万円,1DK,30.1m2
275,セレニティー神田,賃貸マンション,東京都千代田区鍛冶町２,ＪＲ山手線/神田駅 歩3分,築9年,10階建,10階,15.8万円,10000円,15.8万円,-,1DK,30.1m2
282,パークハビオ飯田橋,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/九段下駅 歩3分,築9年,地下1地上13階建,3階,13万円,12000円,13万円,13万円,ワンルーム,25.02m2
283,パークハビオ飯田橋,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/九段下駅 歩3分,築9年,地下1地上13階建,5階,13万円,12000円,13万円,13万円,ワンルーム,25.02m2
284,パークハビオ飯田橋,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/九段下駅 歩3分,築9年,地下1地上13階建,6階,13.1万円,12000円,13.1万円,13.1万円,ワンルーム,25.02m2
285,パークハビオ飯田橋,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/九段下駅 歩3分,築9年,地下1地上13階建,9階,13.3万円,12000円,13.3万円,13.3万円,ワンルーム,25.02m2
286,パークハビオ飯田橋,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/九段下駅 歩3分,築9年,地下1地上13階建,12階,13.7万円,12000円,13.7万円,13.7万円,ワンルーム,25.04m2
287,パークハビオ飯田橋,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/九段下駅 歩3分,築9年,地下1地上13階建,4階,15.9万円,12000円,15.9万円,15.9万円,1DK,30.99m2
288,パークハビオ飯田橋,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/九段下駅 歩3分,築9年,地下1地上13階建,7階,16.4万円,12000円,16.4万円,16.4万円,1DK,30.6m2
289,パークハビオ飯田橋,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/九段下駅 歩3分,築9年,地下1地上13階建,7階,16.7万円,12000円,16.7万円,16.7万円,1DK,30.99m2
336,Artio Domani,賃貸マンション,東京都千代田区内神田３,ＪＲ山手線/神田駅 歩3分,築4年,14階建,9階,15.1万円,8500円,-,15.1万円,1K,30.21m2
337,Artio Domani,賃貸マンション,東京都千代田区内神田３,ＪＲ山手線/神田駅 歩3分,築4年,14階建,9階,15万円,12000円,-,15万円,1K,32.58m2
338,Artio Domani,賃貸マンション,東京都千代田区内神田３,ＪＲ山手線/神田駅 歩3分,築4年,14階建,9階,15.1万円,12000円,-,15.1万円,1K,30.21m2
357,ＪＲ中央線 御茶ノ水駅 14階建 築5年,賃貸マンション,東京都千代田区神田神保町１,ＪＲ中央線/御茶ノ水駅 歩10分,築5年,14階建,12階,23.8万円,15000円,23.8万円,-,1LDK,40.18m2
378,グランド・ガーラ神田,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩4分,築17年,地下1地上13階建,4階,9万円,10000円,9万円,18万円,1K,22.47m2
380,グランド・ガーラ神田,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩4分,築17年,地下1地上13階建,7階,9.9万円,7000円,9.9万円,9.9万円,1K,22.68m2
382,グランド・ガーラ神田,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩4分,築17年,地下1地上13階建,6階,9.9万円,7000円,9.9万円,19.8万円,1K,22.47m2
385,グランド・ガーラ神田,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩4分,築17年,地下1地上13階建,7階,9.9万円,9000円,9.9万円,9.9万円,1K,22.68m2
386,グランド・ガーラ神田,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩4分,築17年,地下1地上13階建,7階,12万円,12000円,12万円,24万円,1K,30.45m2
387,グランド・ガーラ神田,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩4分,築17年,地下1地上13階建,4階,12万円,15000円,12万円,12万円,1K,30.68m2
408,ブライズ神田岩本町,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩4分,築17年,15階建,5階,8.8万円,6000円,8.8万円,-,1K,23.2m2
409,ブライズ神田岩本町,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩4分,築17年,15階建,15階,22.4万円,16000円,22.4万円,22.4万円,2LDK,66m2
414,アーバネックス千代田淡路町,賃貸マンション,東京都千代田区神田小川町１,都営新宿線/小川町駅 歩1分,築2年,13階建,8階,14.9万円,15000円,14.9万円,-,1DK,25.52m2
415,アーバネックス千代田淡路町,賃貸マンション,東京都千代田区神田小川町１,都営新宿線/小川町駅 歩1分,築2年,13階建,5階,15万円,15000円,15万円,-,1DK,25.52m2
416,アーバネックス千代田淡路町,賃貸マンション,東京都千代田区神田小川町１,都営新宿線/小川町駅 歩1分,築2年,13階建,8階,18.6万円,15000円,18.6万円,-,1LDK,31.96m2
417,アーバネックス千代田淡路町,賃貸マンション,東京都千代田区神田小川町１,都営新宿線/小川町駅 歩1分,築2年,13階建,3階,19.5万円,15000円,19.5万円,-,1LDK,33.16m2
426,GOLD FOREST 半蔵門　ゴールドフォレスト半蔵門,賃貸マンション,東京都千代田区麹町２,東京メトロ半蔵門線/半蔵門駅 歩2分,築2年,14階建,5階,30.5万円,16000円,-,30.5万円,1LDK,65.34m2
429,メインステージ神田駅前,賃貸マンション,東京都千代田区内神田３,ＪＲ山手線/神田駅 歩3分,築19年,11階建,7階,9万円,10000円,9万円,9万円,1K,23.64m2
432,パークキューブ神田,賃貸マンション,東京都千代田区神田須田町２,ＪＲ山手線/神田駅 歩3分,築19年,15階建,5階,14万円,10000円,14万円,14万円,1DK,32.07m2
433,パークキューブ神田,賃貸マンション,東京都千代田区神田須田町２,ＪＲ山手線/神田駅 歩3分,築19年,15階建,10階,14.5万円,10000円,14.5万円,14.5万円,1DK,32.07m2
438,ウェスタ紀尾井町,賃貸マンション,東京都千代田区紀尾井町,東京メトロ有楽町線/麹町駅 歩4分,築6年,6階建,3階,16.6万円,-,33.2万円,16.6万円,ワンルーム,30.54m2
441,東京メトロ銀座線 神田駅 11階建 築8年,賃貸マンション,東京都千代田区外神田２,東京メトロ銀座線/神田駅 歩10分,築8年,11階建,10階,13.5万円,8000円,13.5万円,-,1K,25.12m2
442,東京メトロ銀座線 神田駅 11階建 築8年,賃貸マンション,東京都千代田区外神田２,東京メトロ銀座線/神田駅 歩10分,築8年,11階建,5階,14万円,8000円,14万円,14万円,1K,25.68m2
443,東京メトロ銀座線 神田駅 11階建 築8年,賃貸マンション,東京都千代田区外神田２,東京メトロ銀座線/神田駅 歩10分,築8年,11階建,7階,14.6万円,8000円,14.6万円,14.6万円,1K,30.14m2
450,スカイコートヌーベル神田,賃貸マンション,東京都千代田区岩本町１,ＪＲ山手線/神田駅 歩6分,築21年,8階建,4階,8万円,10000円,8万円,8万円,1K,22.41m2
455,ＪＲ山手線 神田駅 8階建 築21年,賃貸マンション,東京都千代田区岩本町１,ＪＲ山手線/神田駅 歩6分,築21年,8階建,8階,8.47万円,15000円,-,-,1K,22.41m2
462,ロイジェント九段,賃貸マンション,東京都千代田区九段北１,東京メトロ東西線/九段下駅 歩5分,築7年,13階建,2階,15.1万円,-,15.1万円,-,1K,30.4m2
463,ロイジェント九段,賃貸マンション,東京都千代田区九段北１,東京メトロ東西線/九段下駅 歩5分,築7年,13階建,5階,15.2万円,-,15.2万円,-,1K,29.43m2
464,ロイジェント九段,賃貸マンション,東京都千代田区九段北１,東京メトロ東西線/九段下駅 歩5分,築7年,13階建,10階,29.2万円,-,29.2万円,29.2万円,2LDK,61.33m2
471,アスプライム千代田富士見,賃貸マンション,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩4分,築43年,4階建,1階,20.5万円,8000円,20.5万円,20.5万円,1LDK,40.23m2
472,アスプライム千代田富士見,賃貸マンション,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩4分,築43年,4階建,1階,21万円,8000円,21万円,21万円,1LDK,40.23m2
473,アスプライム千代田富士見,賃貸マンション,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩4分,築43年,4階建,1階,22万円,8000円,22万円,22万円,1LDK,40.23m2
474,アスプライム千代田富士見,賃貸マンション,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩4分,築43年,4階建,2階,22.5万円,8000円,22.5万円,22.5万円,1LDK,46.78m2
483,プレミアステージ内神田,賃貸マンション,東京都千代田区内神田２,ＪＲ山手線/神田駅 歩3分,築19年,10階建,3階,13.2万円,10000円,13.2万円,13.2万円,ワンルーム,33.08m2
484,プレミアステージ内神田,賃貸マンション,東京都千代田区内神田２,ＪＲ山手線/神田駅 歩3分,築19年,10階建,9階,15.2万円,10000円,15.2万円,15.2万円,ワンルーム,34.73m2
489,お茶の水S.C.ハウス,賃貸マンション,東京都千代田区神田小川町３,東京メトロ半蔵門線/神保町駅 歩4分,築20年,12階建,9階,13.8万円,-,13.8万円,13.8万円,ワンルーム,31.34m2
495,東京メトロ有楽町線 麹町駅 15階建 築10年,賃貸マンション,東京都千代田区平河町１,東京メトロ有楽町線/麹町駅 歩2分,築10年,15階建,2階,13.3万円,10000円,13.3万円,13.3万円,ワンルーム,25.44m2
496,東京メトロ有楽町線 麹町駅 15階建 築10年,賃貸マンション,東京都千代田区平河町１,東京メトロ有楽町線/麹町駅 歩2分,築10年,15階建,9階,14.2万円,10000円,14.2万円,14.2万円,1K,25.44m2
497,東京メトロ有楽町線 麹町駅 15階建 築10年,賃貸マンション,東京都千代田区平河町１,東京メトロ有楽町線/麹町駅 歩2分,築10年,15階建,13階,14.5万円,10000円,14.5万円,14.5万円,1K,25.87m2
507,コンフォリア秋葉原EAST,賃貸マンション,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分,築8年,12階建,5階,13.6万円,6000円,13.6万円,-,ワンルーム,30.87m2
508,コンフォリア秋葉原EAST,賃貸マンション,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分,築8年,12階建,3階,13.9万円,6000円,13.9万円,-,1K,30.34m2
509,コンフォリア秋葉原EAST,賃貸マンション,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分,築8年,12階建,4階,14万円,6000円,14万円,-,1K,30.34m2
510,コンフォリア秋葉原EAST,賃貸マンション,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分,築8年,12階建,11階,14万円,6000円,14万円,-,1K,30.34m2
511,コンフォリア秋葉原EAST,賃貸マンション,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分,築8年,12階建,9階,14.2万円,6000円,14.2万円,-,1K,30.34m2
512,コンフォリア秋葉原EAST,賃貸マンション,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分,築8年,12階建,2階,14.7万円,8000円,14.7万円,-,1DK,32.83m2
513,コンフォリア秋葉原EAST,賃貸マンション,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分,築8年,12階建,5階,18.1万円,8000円,18.1万円,-,1LDK,42.17m2
514,コンフォリア秋葉原EAST,賃貸マンション,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分,築8年,12階建,3階,24.8万円,10000円,24.8万円,-,2LDK,53.6m2
515,コンフォリア秋葉原EAST,賃貸マンション,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分,築8年,12階建,2階,25.5万円,10000円,25.5万円,-,2LDK,55.83m2
534,パークアクシス小伝馬町,賃貸マンション,東京都千代田区岩本町１,東京メトロ日比谷線/小伝馬町駅 歩3分,築8年,14階建,11階,15万円,11000円,15万円,-,ワンルーム,31.28m2
535,パークアクシス小伝馬町,賃貸マンション,東京都千代田区岩本町１,東京メトロ日比谷線/小伝馬町駅 歩3分,築8年,14階建,8階,18万円,13000円,18万円,-,1LDK,40.01m2
536,パークアクシス小伝馬町,賃貸マンション,東京都千代田区岩本町１,東京メトロ日比谷線/小伝馬町駅 歩3分,築8年,14階建,14階,21.8万円,13000円,21.8万円,-,1LDK,45.16m2
543,カーサスプレンディッド一番町,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩3分,築6年,13階建,9階,14.5万円,10000円,14.5万円,14.5万円,ワンルーム,27.82m2
546,XEBEC大手町,賃貸マンション,東京都千代田区神田錦町１,東京メトロ半蔵門線/大手町駅 歩5分,築7年,13階建,2階,11.9万円,10000円,-,11.9万円,ワンルーム,25.58m2
547,XEBEC大手町,賃貸マンション,東京都千代田区神田錦町１,東京メトロ半蔵門線/大手町駅 歩5分,築7年,13階建,2階,11.9万円,20000円,-,11.9万円,ワンルーム,25.58m2
548,XEBEC大手町,賃貸マンション,東京都千代田区神田錦町１,東京メトロ半蔵門線/大手町駅 歩5分,築7年,13階建,8階,20万円,8000円,20万円,20万円,1LDK,41.1m2
555,ガラ・ステージ神田小川町,賃貸マンション,東京都千代田区神田司町２,東京メトロ丸ノ内線/淡路町駅 歩5分,築19年,12階建,9階,12万円,10000円,12万円,24万円,1K,31.84m2
561,ＪＲ山手線 秋葉原駅 12階建 築18年,賃貸マンション,東京都千代田区岩本町３,ＪＲ山手線/秋葉原駅 歩5分,築18年,12階建,2階,8.8万円,9000円,8.8万円,17.6万円,1K,22.78m2
